"file","line_number","line_content","matched_path","suggested_replacement"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac inspect structure_20260630.R",66,"cat(""\nSaved report to:\n"", file.path(out_dir, ""proteome_structure_report.txt""), ""\n"")","o:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac lag3 tp53 analysis_20260630.R",20,"#   D:/Projects/GBM_Analysis/scripts/TP53/20260630","D:/Projects/GBM_Analysis/scripts/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac lag3 tp53 analysis_20260630.R",22,"results_root <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac lag3 tp53 analysis_20260630.R",35,"install.packages(p, repos = ""https://cloud.r-project.org"")","s://cloud.r-project.org","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac lag3 tp53 analysis_20260630.R",59,"cat(""Proteomics files found in study:\n""); print(basename(prot_all))","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac lag3 tp53 analysis_20260630.R",111,"cat(""\nWrote LAG3_detection_summary.csv to:\n"", out_dir, ""\n"")","o:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac lag3 tp53 analysis_20260630.R",160,"strsplit(sub(""^case_list_ids:\\s*"", """", ids), ""\t"")[[1]])","s:\\s*","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac lag3 tp53 analysis_20260630.R",270,"cat(""\nDone. Outputs written to:\n"", out_dir, ""\n"")","o:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac symbol verification_20260630.R",9,"results_root <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac symbol verification_20260630.R",23,"cat(""Example full identifiers:\n"")","s:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac symbol verification_20260630.R",69,"cat(""Output dir:\n"", out_dir, ""\n"")","r:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Inspect original data 20260221_20260630.R",10,"install.packages(""data.table"", repos = ""https://cloud.r-project.org"")","s://cloud.r-project.org","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Inspect original data 20260221_20260630.R",14,"data_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Inspect original data 20260221_20260630.R",89,"cat(""\nReport saved to:\n"", report, ""\n"")","o:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step0 frame columns_20260630.R",8,"RESULTS_IN <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",20,"#     https://gdc.cancer.gov/about-data/publications/pancanatlas","s://gdc.cancer.gov/about-data/publications/pancanatlas","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",28,"RESULTS_IN  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""   # read source","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",29,"RESULTS_OUT <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""   # revision outputs","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",52,"cat(""columns:\n""); print(colnames(abs_tab))","s:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",67,"cat(""nchar distribution of barcodes:\n"")","s:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",82,"cat(""source table:\n""); print(table(g4$source))","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",86,"cat(""example case_barcode:\n""); print(utils::head(g4_tcga$case_barcode, 5))","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",87,"cat(""nchar of case_barcode:\n""); print(table(nchar(g4_tcga$case_barcode)))","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step1 absolute structure check_20260630.R",109,"cat(""\npatients with >1 ABSOLUTE row (top 10), if any:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step2 absolute join refit_20260630.R",31,"RESULTS_IN  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step2 absolute join refit_20260630.R",32,"RESULTS_OUT <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step2 absolute join refit_20260630.R",69,"cat(""\n[!] ABSOLUTE table not found in:\n   "", RAW_DIR, ""\n"")","n:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step2 absolute join refit_20260630.R",71,"cat(""    https://gdc.cancer.gov/about-data/publications/pancanatlas , save it there, re-run.\n"")","s://gdc.cancer.gov/about-data/publications/pancanatlas","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/R1 3b step2 absolute join refit_20260630.R",207,"cat(""\nDONE. Outputs written to:\n  "", OUT_DIR, ""\n"")","o:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat patch_20260630.R",9,"out_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260630/R1-4_ComBat""","D:/Projects/GBM_Analysis/results/TP53/20260630/R1-4_ComBat","here::here(""20260630"", ""R1-4_ComBat"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat patch_20260630.R",61,"cat(""\nDone. Outputs in:\n"", out_dir, ""\n"")","n:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat_20260630.R",21,"install.packages(""BiocManager"", repos = ""https://cloud.r-project.org"")","s://cloud.r-project.org","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat_20260630.R",23,"else install.packages(p, repos = ""https://cloud.r-project.org"")","s://cloud.r-project.org","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat_20260630.R",30,"orig_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat_20260630.R",31,"out_dir  <- ""D:/Projects/GBM_Analysis/results/TP53/20260630/R1-4_ComBat""","D:/Projects/GBM_Analysis/results/TP53/20260630/R1-4_ComBat","here::here(""20260630"", ""R1-4_ComBat"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat_20260630.R",48,"cat(""Samples:"", nrow(meta), ""| batches:\n""); print(table(meta$source))","s:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision combat_20260630.R",136,"cat(""\nDone. Outputs in:\n"", out_dir, ""\n"")","n:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision log2fc_20260630.R",12,"install.packages(""data.table"", repos = ""https://cloud.r-project.org"")","s://cloud.r-project.org","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision log2fc_20260630.R",17,"orig_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision log2fc_20260630.R",18,"out_dir  <- ""D:/Projects/GBM_Analysis/results/TP53/20260630/R2-1_log2FC""","D:/Projects/GBM_Analysis/results/TP53/20260630/R2-1_log2FC","here::here(""20260630"", ""R2-1_log2FC"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Revision log2fc_20260630.R",106,"cat(""\nDone. Outputs in:\n"", out_dir, ""\n"")","n:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Scan paths and secrets_20260708.R",5,"#   (1) 全スクリプト中の絶対パス（D:\... など）を検出し、置換対象リストをCSV出力","D:\...","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Scan paths and secrets_20260708.R",24,"""D:/Projects/GBM_Analysis/scripts/TP53/20260221"",","D:/Projects/GBM_Analysis/scripts/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Scan paths and secrets_20260708.R",25,"""D:/Projects/GBM_Analysis/scripts/TP53/20260630""","D:/Projects/GBM_Analysis/scripts/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Scan paths and secrets_20260708.R",30,"results_root = ""D:/Projects/GBM_Analysis/results/TP53"",","D:/Projects/GBM_Analysis/results/TP53","here::here()"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Scan paths and secrets_20260708.R",31,"scripts_root = ""D:/Projects/GBM_Analysis/scripts/TP53""","D:/Projects/GBM_Analysis/scripts/TP53","here::here()"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Scan paths and secrets_20260708.R",34,"output_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""  # CSV出力先（適宜変更）","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Scan paths and secrets_20260708.R",59,"# Windowsドライブレター絶対パス（D:\... や D:/...）、および setwd() 呼び出しを検出","D:\...","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Structure check log2fc combat_20260630.R",13,"install.packages(""data.table"", repos = ""https://cloud.r-project.org"")","s://cloud.r-project.org","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Structure check log2fc combat_20260630.R",17,"orig_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Structure check log2fc combat_20260630.R",18,"out_dir  <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Structure check log2fc combat_20260630.R",87,"cat(""\nStructure report saved to:\n"",","o:\n","要手動確認（既知ルート外）"
